config_tag,marker,class,hemisphere,region,n_slices,mean_density,sd_density,min_density,max_density,cv,total_count
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: Isocortex,5,3835.2712,273.2075763713372,3457.842,4113.274,0.07123552993366863,149927
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LA,3,4447.105666666667,1077.2218431485383,3578.01,5652.31,0.24222987351590658,1622
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LAT,3,3686.8366666666666,135.52086749402613,3557.919,3828.114,0.03675803398596253,10481
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LD,2,3994.644,301.4763903724468,3781.468,4207.82,0.0754701521268095,3491
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LGd,3,4249.715,181.8044871915982,4064.868,4428.316,0.04278039520099541,3550
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LGd-co,3,4235.559333333334,259.9390602917026,3945.008,4446.052,0.06137065729336242,2025
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LGd-ip,3,4062.421,180.62083791190884,3856.785,4195.393,0.04446137855035429,552
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LGd-sh,3,4411.221333333334,256.90784127062653,4199.355,4696.977,0.058239617071423264,972
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LGv,3,4673.878333333333,173.3250909283863,4483.449,4822.423,0.03708378322393636,1431
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LH,3,4860.634333333333,242.0417133106052,4589.386,5054.589,0.049796322190033465,935
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LHA,3,4118.748333333334,239.45815432833666,3869.475,4347.006,0.05813857389401148,7294
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LP,3,3985.071,208.54543092333654,3820.026,4219.453,0.05233167261595503,3819
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LPO,2,0.0,0.0,0.0,0.0,,0
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: LZ,5,4268.3206,298.55302218333026,3899.248,4522.309,0.06994625056593225,14635
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MA,1,4201.83,,4201.83,4201.83,,108
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MB,3,4039.3880000000004,279.89311615507773,3865.429,4362.257,0.06929097084882109,17008
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MBmot,3,3999.1440000000002,78.32401096087969,3914.053,4068.228,0.01958519397172987,9833
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MBsen,2,1861.557,2632.6391565305717,0.0,3723.114,1.414213562373095,2268
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MD,5,2137.1274,1951.505033841522,0.0,3634.41,0.9131439865688503,3353
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MEA,3,4613.2716666666665,1146.2995385606391,3851.131,5931.55,0.2484786549301358,4040
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MED,5,3736.0784,434.74100239832455,3264.766,4450.389,0.11636292279046515,8266
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MEPO,1,5377.746,,5377.746,5377.746,,268
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MEZ,4,3115.8295,2087.885706563221,0.0,4326.357,0.6700898449556438,5594
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MH,3,5341.238666666667,826.0379090582545,4428.198,6036.728,0.15465287372634184,1777
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MPN,1,5892.411,,5892.411,5892.411,,67
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: MPO,2,4665.47,568.3498033007489,4263.586,5067.354,0.12182048181656915,1843
